S.No.,Question,Difficulty,Answers
4507,What is 93 * 22?,Easy,2046
4508,What is the square root of 27?,Hard,Not a perfect square
4509,What is 37 - 80?,Easy,-43
4510,What is 68 - 55?,Medium,13
4511,What is the square root of 95?,Medium,Not a perfect square
4512,What is 33 + 4?,Easy,37
4513,What is the square root of 95?,Medium,Not a perfect square
4514,What is 5 * 37?,Hard,185
4515,What is 81 + 8?,Easy,89
4516,What is the square root of 93?,Easy,Not a perfect square
4517,What is the square root of 34?,Medium,Not a perfect square
4518,What is 39 squared?,Easy,1521
4519,What is 28 squared?,Hard,784
4520,What is the square root of 6?,Easy,Not a perfect square
4521,What is 99 - 47?,Easy,52
4522,What is the square root of 82?,Medium,Not a perfect square
4523,What is 26 - 75?,Hard,-49
4524,What is 33 - 8?,Medium,25
4525,What is 48 + 20?,Hard,68
4526,What is 90 squared?,Hard,8100
4527,What is 31 squared?,Hard,961
4528,What is the square root of 46?,Easy,Not a perfect square
4529,What is the square root of 63?,Easy,Not a perfect square
4530,What is 60 * 11?,Easy,660
4531,What is 48 + 95?,Medium,143
4532,What is 70 squared?,Hard,4900
4533,What is the square root of 9?,Easy,3
4534,What is 23 * 7?,Easy,161
4535,What is 98 - 27?,Medium,71
4536,What is 68 - 80?,Hard,-12
4537,What is 49 + 42?,Hard,91
4538,What is 26 + 19?,Medium,45
4539,What is 90 + 12?,Medium,102
4540,What is 85 - 32?,Medium,53
4541,What is 66 - 20?,Hard,46
4542,What is 25 squared?,Easy,625
4543,What is 9 - 86?,Medium,-77
4544,What is 34 squared?,Hard,1156
4545,What is 17 - 67?,Easy,-50
4546,What is the square root of 30?,Hard,Not a perfect square
4547,What is 54 * 89?,Easy,4806
4548,What is 88 squared?,Medium,7744
4549,What is 49 + 55?,Medium,104
4550,What is 60 + 67?,Easy,127
4551,What is 95 - 42?,Hard,53
4552,What is 50 squared?,Hard,2500
4553,What is 26 - 64?,Medium,-38
4554,What is 38 squared?,Easy,1444
4555,What is 66 - 52?,Medium,14
4556,What is the square root of 91?,Easy,Not a perfect square
4557,What is 95 + 66?,Easy,161
4558,What is 30 + 13?,Medium,43
4559,What is 47 * 12?,Hard,564
4560,What is 38 - 68?,Easy,-30
4561,What is the square root of 99?,Hard,Not a perfect square
4562,What is 97 * 94?,Easy,9118
4563,What is 40 + 90?,Easy,130
4564,What is the square root of 83?,Easy,Not a perfect square
4565,What is the square root of 63?,Hard,Not a perfect square
4566,What is 11 * 25?,Medium,275
4567,What is 34 * 14?,Hard,476
4568,What is 96 squared?,Medium,9216
4569,What is 97 * 88?,Easy,8536
4570,What is the square root of 67?,Hard,Not a perfect square
4571,What is 96 squared?,Medium,9216
4572,What is 8 + 84?,Hard,92
4573,What is 6 squared?,Medium,36
4574,What is the square root of 23?,Medium,Not a perfect square
4575,What is 83 squared?,Medium,6889
4576,What is the square root of 93?,Hard,Not a perfect square
4577,What is 27 * 100?,Hard,2700
4578,What is 75 - 63?,Medium,12
4579,What is 73 - 34?,Easy,39
4580,What is the square root of 93?,Medium,Not a perfect square
4581,What is the square root of 61?,Medium,Not a perfect square
4582,What is 46 + 19?,Medium,65
4583,What is 65 * 33?,Hard,2145
4584,What is 93 squared?,Easy,8649
4585,What is 57 + 42?,Hard,99
4586,What is 92 + 81?,Hard,173
4587,What is 36 squared?,Medium,1296
4588,What is 4 squared?,Medium,16
4589,What is 82 + 42?,Easy,124
4590,What is 32 * 58?,Easy,1856
4591,What is the square root of 35?,Easy,Not a perfect square
4592,What is the square root of 72?,Easy,Not a perfect square
4593,What is the square root of 70?,Easy,Not a perfect square
4594,What is 68 - 55?,Hard,13
4595,What is 3 squared?,Hard,9
4596,What is 68 squared?,Hard,4624
4597,What is 12 + 88?,Easy,100
4598,What is 83 + 43?,Easy,126
4599,What is 45 * 77?,Hard,3465
4600,What is the square root of 45?,Hard,Not a perfect square
4601,What is 22 squared?,Easy,484
4602,What is 97 * 74?,Medium,7178
4603,What is the square root of 94?,Hard,Not a perfect square
4604,What is 81 squared?,Hard,6561
4605,What is 8 - 56?,Medium,-48
4606,What is 84 + 59?,Easy,143
4607,What is 14 + 58?,Hard,72
4608,What is the square root of 87?,Hard,Not a perfect square
4609,What is the square root of 2?,Easy,Not a perfect square
4610,What is 32 * 16?,Medium,512
4611,What is the square root of 74?,Easy,Not a perfect square
4612,What is the square root of 61?,Easy,Not a perfect square
4613,What is 7 - 69?,Hard,-62
4614,What is 56 + 94?,Medium,150
4615,What is the square root of 13?,Medium,Not a perfect square
4616,What is the square root of 38?,Medium,Not a perfect square
4617,What is 13 squared?,Hard,169
4618,What is the square root of 74?,Medium,Not a perfect square
4619,What is 68 - 21?,Medium,47
4620,What is 65 squared?,Hard,4225
4621,What is 52 + 57?,Hard,109
4622,What is 79 * 1?,Hard,79
4623,What is 91 - 96?,Hard,-5
4624,What is 9 * 38?,Easy,342
4625,What is 69 * 64?,Hard,4416
4626,What is 64 squared?,Hard,4096
4627,What is the square root of 80?,Easy,Not a perfect square
4628,What is 95 squared?,Easy,9025
4629,What is the square root of 82?,Hard,Not a perfect square
4630,What is 6 squared?,Hard,36
4631,What is the square root of 77?,Hard,Not a perfect square
4632,What is 93 + 45?,Medium,138
4633,What is 20 squared?,Medium,400
4634,What is 37 + 46?,Hard,83
4635,What is 98 - 81?,Easy,17
4636,What is 86 + 66?,Medium,152
4637,What is 46 + 7?,Hard,53
4638,What is 77 * 33?,Medium,2541
4639,What is 19 - 82?,Medium,-63
4640,What is 59 * 39?,Hard,2301
4641,What is 46 + 93?,Medium,139
4642,What is the square root of 48?,Easy,Not a perfect square
4643,What is the square root of 70?,Easy,Not a perfect square
4644,What is 60 squared?,Medium,3600
4645,What is 42 * 81?,Easy,3402
4646,What is 23 + 28?,Hard,51
4647,What is 72 - 59?,Medium,13
4648,What is the square root of 26?,Hard,Not a perfect square
4649,What is 52 - 3?,Medium,49
4650,What is 12 * 9?,Medium,108
4651,What is 52 * 1?,Medium,52
4652,What is 29 - 71?,Easy,-42
4653,What is 96 * 74?,Easy,7104
4654,What is 75 - 91?,Easy,-16
4655,What is 68 squared?,Medium,4624
4656,What is 56 * 60?,Medium,3360
4657,What is the square root of 66?,Easy,Not a perfect square
4658,What is 16 - 38?,Hard,-22
4659,What is 35 * 10?,Medium,350
4660,What is 47 * 89?,Medium,4183
4661,What is 93 - 76?,Hard,17
4662,What is 25 * 65?,Medium,1625
4663,What is the square root of 17?,Easy,Not a perfect square
4664,What is 25 * 97?,Easy,2425
4665,What is 89 * 52?,Hard,4628
4666,What is 79 squared?,Easy,6241
4667,What is 33 + 32?,Hard,65
4668,What is the square root of 85?,Easy,Not a perfect square
4669,What is 89 squared?,Hard,7921
4670,What is 12 + 44?,Easy,56
4671,What is 62 + 62?,Hard,124
4672,What is 74 + 35?,Hard,109
4673,What is the square root of 16?,Medium,4
4674,What is 48 + 38?,Hard,86
4675,What is 12 squared?,Medium,144
4676,What is 48 - 78?,Medium,-30
4677,What is 10 - 83?,Hard,-73
4678,What is 69 + 17?,Medium,86
4679,What is 1 * 47?,Hard,47
4680,What is the square root of 51?,Medium,Not a perfect square
4681,What is 20 * 43?,Hard,860
4682,What is 1 squared?,Easy,1
4683,What is 66 - 70?,Medium,-4
4684,What is 59 + 92?,Medium,151
4685,What is 83 * 82?,Medium,6806
4686,What is the square root of 26?,Easy,Not a perfect square
4687,What is 98 * 75?,Easy,7350
4688,What is 5 squared?,Easy,25
4689,What is 81 squared?,Hard,6561
4690,What is 73 * 21?,Easy,1533
4691,What is the square root of 59?,Easy,Not a perfect square
4692,What is 100 + 15?,Medium,115
4693,What is the square root of 22?,Hard,Not a perfect square
4694,What is 52 squared?,Medium,2704
4695,What is 31 - 83?,Hard,-52
4696,What is the square root of 40?,Easy,Not a perfect square
4697,What is 68 squared?,Hard,4624
4698,What is the square root of 47?,Easy,Not a perfect square
4699,What is 27 + 55?,Medium,82
4700,What is the square root of 27?,Medium,Not a perfect square
4701,What is 80 + 16?,Easy,96
4702,What is 27 * 88?,Hard,2376
4703,What is 36 * 53?,Hard,1908
4704,What is 20 - 59?,Medium,-39
4705,What is 45 squared?,Easy,2025
4706,What is 56 * 62?,Hard,3472
4707,What is 26 + 25?,Easy,51
4708,What is 24 * 18?,Hard,432
4709,What is 45 squared?,Hard,2025
4710,What is 1 squared?,Easy,1
4711,What is 47 + 93?,Medium,140
4712,What is 100 squared?,Medium,10000
4713,What is 96 * 98?,Easy,9408
4714,What is the square root of 94?,Easy,Not a perfect square
4715,What is 99 - 3?,Hard,96
4716,What is 96 squared?,Hard,9216
4717,What is 73 * 42?,Easy,3066
4718,What is 89 - 73?,Medium,16
4719,What is 73 - 22?,Medium,51
4720,What is 30 - 17?,Hard,13
4721,What is the square root of 83?,Medium,Not a perfect square
4722,What is the square root of 35?,Medium,Not a perfect square
4723,What is 46 squared?,Hard,2116
4724,What is 27 - 79?,Easy,-52
4725,What is 7 + 4?,Easy,11
4726,What is 66 squared?,Medium,4356
4727,What is 4 * 56?,Easy,224
4728,What is the square root of 80?,Easy,Not a perfect square
4729,What is 50 squared?,Medium,2500
4730,What is 20 + 32?,Hard,52
4731,What is 85 squared?,Medium,7225
4732,What is 69 * 38?,Hard,2622
4733,What is 85 squared?,Easy,7225
4734,What is 41 squared?,Hard,1681
4735,What is 13 - 70?,Easy,-57
4736,What is 28 squared?,Hard,784
4737,What is the square root of 64?,Hard,8
4738,What is 97 + 39?,Easy,136
4739,What is 15 squared?,Easy,225
4740,What is 42 squared?,Medium,1764
4741,What is 17 - 34?,Hard,-17
4742,What is 12 squared?,Hard,144
4743,What is 63 + 49?,Medium,112
4744,What is the square root of 82?,Easy,Not a perfect square
4745,What is the square root of 23?,Hard,Not a perfect square
4746,What is 3 squared?,Easy,9
4747,What is the square root of 12?,Medium,Not a perfect square
4748,What is 24 * 6?,Hard,144
4749,What is 35 * 44?,Medium,1540
4750,What is the square root of 73?,Hard,Not a perfect square
4751,What is 89 + 85?,Easy,174
4752,What is 82 - 23?,Hard,59
4753,What is 45 - 42?,Medium,3
4754,What is 25 squared?,Easy,625
4755,What is 67 + 72?,Easy,139
4756,What is the square root of 93?,Easy,Not a perfect square
4757,What is 90 - 80?,Hard,10
4758,What is 76 * 9?,Hard,684
4759,What is the square root of 27?,Medium,Not a perfect square
4760,What is 14 * 76?,Easy,1064
4761,What is 26 squared?,Medium,676
4762,What is 61 - 33?,Easy,28
4763,What is 96 - 60?,Medium,36
4764,What is 60 - 1?,Medium,59
4765,What is 7 squared?,Easy,49
4766,What is 67 squared?,Hard,4489
4767,What is 5 squared?,Easy,25
4768,What is the square root of 27?,Hard,Not a perfect square
4769,What is 93 - 95?,Medium,-2
4770,What is 75 squared?,Easy,5625
4771,What is 56 + 25?,Medium,81
4772,What is 51 * 86?,Medium,4386
4773,What is 95 * 63?,Easy,5985
4774,What is the square root of 43?,Hard,Not a perfect square
4775,What is the square root of 51?,Medium,Not a perfect square
4776,What is 19 squared?,Medium,361
4777,What is the square root of 73?,Easy,Not a perfect square
4778,What is 54 + 81?,Easy,135
4779,What is 12 - 3?,Easy,9
4780,What is 17 * 40?,Hard,680
4781,What is 40 squared?,Easy,1600
4782,What is 84 - 50?,Medium,34
4783,What is 61 * 44?,Hard,2684
4784,What is 81 - 53?,Hard,28
4785,What is 32 * 51?,Easy,1632
4786,What is 33 * 25?,Easy,825
4787,What is 87 - 100?,Medium,-13
4788,What is 40 * 42?,Easy,1680
4789,What is 18 - 15?,Easy,3
4790,What is the square root of 79?,Medium,Not a perfect square
4791,What is 30 - 55?,Hard,-25
4792,What is 29 * 28?,Medium,812
4793,What is the square root of 64?,Medium,8
4794,What is 6 + 4?,Hard,10
4795,What is the square root of 60?,Easy,Not a perfect square
4796,What is 68 + 30?,Medium,98
4797,What is 87 * 100?,Easy,8700
4798,What is 82 + 43?,Hard,125
4799,What is 25 - 14?,Hard,11
4800,What is 29 + 71?,Medium,100
4801,What is 56 - 73?,Medium,-17
4802,What is 60 - 23?,Medium,37
4803,What is 62 * 6?,Hard,372
4804,What is 91 + 35?,Easy,126
4805,What is 8 + 94?,Hard,102
4806,What is 45 + 44?,Medium,89
4807,What is 23 squared?,Medium,529
4808,What is the square root of 36?,Hard,6
4809,What is 47 + 37?,Easy,84
4810,What is the square root of 2?,Medium,Not a perfect square
4811,What is 87 + 94?,Hard,181
4812,What is 94 + 93?,Easy,187
4813,What is 100 * 34?,Medium,3400
4814,What is the square root of 3?,Easy,Not a perfect square
4815,What is 16 squared?,Medium,256
4816,What is 81 - 47?,Easy,34
4817,What is 66 - 42?,Easy,24
4818,What is 2 + 8?,Easy,10
4819,What is 96 - 59?,Hard,37
4820,What is 70 - 5?,Hard,65
4821,What is 2 squared?,Hard,4
4822,What is 10 * 52?,Easy,520
4823,What is 32 + 14?,Easy,46
4824,What is 12 squared?,Medium,144
4825,What is the square root of 34?,Medium,Not a perfect square
4826,What is 80 - 38?,Hard,42
4827,What is 96 - 5?,Medium,91
4828,What is 34 * 74?,Medium,2516
4829,What is 21 * 66?,Easy,1386
4830,What is 52 - 24?,Easy,28
4831,What is 46 + 92?,Medium,138
4832,What is 44 + 55?,Hard,99
4833,What is 28 - 26?,Easy,2
4834,What is 46 - 76?,Easy,-30
4835,What is 73 - 92?,Hard,-19
4836,What is 53 - 45?,Easy,8
4837,What is 80 squared?,Medium,6400
4838,What is 40 squared?,Hard,1600
4839,What is 85 * 55?,Medium,4675
4840,What is 48 * 47?,Easy,2256
4841,What is 72 + 63?,Hard,135
4842,What is 43 - 13?,Hard,30
4843,What is 87 - 22?,Medium,65
4844,What is 73 squared?,Easy,5329
4845,What is 76 - 97?,Easy,-21
4846,What is the square root of 14?,Medium,Not a perfect square
4847,What is 35 - 14?,Hard,21
4848,What is 13 + 27?,Medium,40
4849,What is 9 + 3?,Hard,12
4850,What is 99 * 7?,Easy,693
4851,What is the square root of 50?,Medium,Not a perfect square
4852,What is 86 * 13?,Medium,1118
4853,What is 90 - 46?,Medium,44
4854,What is the square root of 46?,Hard,Not a perfect square
4855,What is 63 squared?,Easy,3969
4856,What is 65 + 77?,Hard,142
4857,What is the square root of 58?,Easy,Not a perfect square
4858,What is the square root of 24?,Hard,Not a perfect square
4859,What is 36 squared?,Hard,1296
4860,What is 85 * 1?,Hard,85
4861,What is 67 + 93?,Easy,160
4862,What is 56 + 21?,Medium,77
4863,What is 7 - 98?,Hard,-91
4864,What is 23 squared?,Hard,529
4865,What is 91 * 20?,Hard,1820
4866,What is 46 * 30?,Easy,1380
4867,What is 25 squared?,Easy,625
4868,What is 10 + 1?,Easy,11
4869,What is 64 squared?,Easy,4096
4870,What is 75 + 73?,Medium,148
4871,What is 59 * 62?,Easy,3658
4872,What is 56 squared?,Hard,3136
4873,What is 40 squared?,Medium,1600
4874,What is 42 - 37?,Easy,5
4875,What is 76 - 27?,Medium,49
4876,What is 83 * 36?,Hard,2988
4877,What is the square root of 37?,Easy,Not a perfect square
4878,What is the square root of 6?,Hard,Not a perfect square
4879,What is 6 - 87?,Hard,-81
4880,What is 83 - 17?,Easy,66
4881,What is 12 - 99?,Medium,-87
4882,What is 77 squared?,Easy,5929
4883,What is 45 * 57?,Hard,2565
4884,What is 95 * 70?,Hard,6650
4885,What is 64 * 76?,Hard,4864
4886,What is 57 + 62?,Medium,119
4887,What is 67 * 91?,Medium,6097
4888,What is 51 + 67?,Easy,118
4889,What is 17 + 10?,Hard,27
4890,What is 56 * 9?,Medium,504
4891,What is 23 squared?,Easy,529
4892,What is 22 * 8?,Hard,176
4893,What is 34 squared?,Hard,1156
4894,What is 81 - 86?,Hard,-5
4895,What is 85 + 71?,Medium,156
4896,What is 42 - 95?,Hard,-53
4897,What is 65 - 92?,Medium,-27
4898,What is 68 * 87?,Medium,5916
4899,What is 27 squared?,Easy,729
4900,What is 82 * 48?,Hard,3936
4901,What is the square root of 25?,Medium,5
4902,What is 67 * 30?,Easy,2010
4903,What is the square root of 29?,Easy,Not a perfect square
4904,What is 85 - 32?,Hard,53
4905,What is the square root of 85?,Hard,Not a perfect square
4906,What is the square root of 48?,Easy,Not a perfect square
4907,What is 47 squared?,Medium,2209
4908,What is 67 * 36?,Easy,2412
4909,What is 97 * 46?,Easy,4462
4910,What is the square root of 26?,Medium,Not a perfect square
4911,What is 1 * 9?,Medium,9
4912,What is 38 * 63?,Medium,2394
4913,What is 63 - 46?,Easy,17
4914,What is 59 * 71?,Hard,4189
4915,What is 82 - 42?,Easy,40
4916,What is 93 squared?,Medium,8649
4917,What is 4 - 86?,Medium,-82
4918,What is 32 - 80?,Easy,-48
4919,What is 5 * 13?,Medium,65
4920,What is 77 * 49?,Medium,3773
4921,What is 73 + 86?,Medium,159
4922,What is 92 * 86?,Hard,7912
4923,What is 42 * 57?,Medium,2394
4924,What is 14 * 73?,Easy,1022
4925,What is 58 + 52?,Medium,110
4926,What is the square root of 84?,Medium,Not a perfect square
4927,What is the square root of 44?,Medium,Not a perfect square
4928,What is 41 squared?,Medium,1681
4929,What is the square root of 61?,Easy,Not a perfect square
4930,What is the square root of 25?,Hard,5
4931,What is 69 - 70?,Hard,-1
4932,What is 63 - 80?,Easy,-17
4933,What is the square root of 35?,Medium,Not a perfect square
4934,What is 98 squared?,Easy,9604
4935,What is 73 + 75?,Easy,148
4936,What is the square root of 14?,Easy,Not a perfect square
4937,What is the square root of 34?,Hard,Not a perfect square
4938,What is 13 - 66?,Medium,-53
4939,What is the square root of 88?,Medium,Not a perfect square
4940,What is the square root of 79?,Hard,Not a perfect square
4941,What is the square root of 48?,Medium,Not a perfect square
4942,What is 77 * 43?,Easy,3311
4943,What is 97 squared?,Medium,9409
4944,What is 19 * 50?,Medium,950
4945,What is 42 squared?,Medium,1764
4946,What is 1 squared?,Hard,1
4947,What is 13 + 56?,Medium,69
4948,What is the square root of 94?,Easy,Not a perfect square
4949,What is 67 squared?,Medium,4489
4950,What is 70 + 77?,Medium,147
4951,What is 15 * 50?,Medium,750
4952,What is 62 - 46?,Medium,16
4953,What is 69 * 67?,Hard,4623
4954,What is 72 + 98?,Medium,170
4955,What is 4 + 56?,Easy,60
4956,What is the square root of 100?,Medium,10
4957,What is 86 * 96?,Medium,8256
4958,What is 23 + 57?,Easy,80
4959,What is 80 + 100?,Easy,180
4960,What is the square root of 10?,Easy,Not a perfect square
4961,What is 56 squared?,Easy,3136
4962,What is the square root of 49?,Hard,7
4963,What is the square root of 69?,Medium,Not a perfect square
4964,What is the square root of 19?,Medium,Not a perfect square
4965,What is 25 - 12?,Easy,13
4966,What is 87 + 33?,Medium,120
4967,What is 81 - 52?,Easy,29
4968,What is 40 squared?,Medium,1600
4969,What is 66 * 46?,Hard,3036
4970,What is 58 * 30?,Hard,1740
4971,What is 47 - 62?,Hard,-15
4972,What is the square root of 61?,Medium,Not a perfect square
4973,What is the square root of 39?,Hard,Not a perfect square
4974,What is 75 + 37?,Easy,112
4975,What is 29 squared?,Easy,841
4976,What is 87 + 55?,Easy,142
4977,What is 91 + 15?,Medium,106
4978,What is 21 squared?,Medium,441
4979,What is 40 + 56?,Easy,96
4980,What is 67 + 93?,Hard,160
4981,What is 72 squared?,Hard,5184
4982,What is 82 + 54?,Hard,136
4983,What is 16 * 94?,Medium,1504
4984,What is 24 + 26?,Hard,50
4985,What is 8 - 10?,Hard,-2
4986,What is 89 - 18?,Medium,71
4987,What is 44 - 93?,Medium,-49
4988,What is the square root of 74?,Easy,Not a perfect square
4989,What is 21 * 15?,Easy,315
4990,What is 46 + 4?,Medium,50
4991,What is 7 - 66?,Medium,-59
4992,What is 97 - 77?,Medium,20
4993,What is 33 * 5?,Easy,165
4994,What is the square root of 90?,Easy,Not a perfect square
4995,What is 57 - 73?,Easy,-16
4996,What is 5 squared?,Medium,25
4997,What is 77 squared?,Medium,5929
4998,What is the square root of 92?,Easy,Not a perfect square
4999,What is the square root of 88?,Medium,Not a perfect square
5000,What is the square root of 33?,Easy,Not a perfect square
5001,What is the square root of 89?,Hard,Not a perfect square
5002,What is 99 - 73?,Medium,26
5003,What is 61 + 35?,Medium,96
5004,What is 73 squared?,Easy,5329
5005,What is 48 - 41?,Medium,7
5006,What is 37 + 86?,Medium,123
5007,What is 95 - 12?,Hard,83
5008,What is 65 + 57?,Medium,122
5009,What is 27 - 75?,Medium,-48
5010,What is 99 squared?,Hard,9801
5011,What is 39 - 19?,Easy,20
5012,What is 7 + 76?,Easy,83
5013,What is 21 - 58?,Hard,-37
5014,What is 95 - 21?,Medium,74
5015,What is 87 * 54?,Easy,4698
5016,What is 48 * 7?,Easy,336
5017,What is 84 squared?,Medium,7056
5018,What is 36 + 2?,Medium,38
5019,What is the square root of 43?,Easy,Not a perfect square
5020,What is 29 squared?,Medium,841
5021,What is 96 - 76?,Medium,20
5022,What is 4 - 9?,Medium,-5
5023,What is 89 + 53?,Easy,142
5024,What is 93 - 54?,Easy,39
5025,What is 92 squared?,Hard,8464
5026,What is 28 squared?,Medium,784
5027,What is the square root of 67?,Hard,Not a perfect square
5028,What is 88 + 95?,Easy,183
5029,What is 72 + 62?,Medium,134
5030,What is 80 squared?,Hard,6400
5031,What is 93 - 94?,Hard,-1
5032,What is 64 - 18?,Medium,46
5033,What is 3 - 34?,Easy,-31
5034,What is 90 + 42?,Hard,132
5035,What is the square root of 5?,Easy,Not a perfect square
5036,What is 32 * 40?,Easy,1280
5037,What is 28 * 9?,Hard,252
5038,What is the square root of 85?,Easy,Not a perfect square
5039,What is the square root of 80?,Hard,Not a perfect square
5040,What is 14 + 79?,Medium,93
5041,What is the square root of 14?,Hard,Not a perfect square
5042,What is the square root of 81?,Easy,9
5043,What is the square root of 75?,Easy,Not a perfect square
5044,What is 44 - 74?,Easy,-30
5045,What is the square root of 4?,Medium,2
5046,What is the square root of 43?,Easy,Not a perfect square
5047,What is 48 + 30?,Hard,78
5048,What is 9 + 92?,Easy,101
5049,What is 62 - 50?,Hard,12
5050,What is 96 squared?,Hard,9216
5051,What is the square root of 56?,Medium,Not a perfect square
5052,What is 35 squared?,Easy,1225
5053,What is 20 + 6?,Medium,26
5054,What is the square root of 15?,Medium,Not a perfect square
5055,What is 91 + 27?,Hard,118
5056,What is 58 + 75?,Medium,133
5057,What is 47 squared?,Easy,2209
5058,What is 31 + 47?,Easy,78
5059,What is the square root of 87?,Easy,Not a perfect square
5060,What is 51 * 13?,Easy,663
5061,What is 71 * 25?,Hard,1775
5062,What is 7 * 10?,Medium,70
5063,What is 50 * 76?,Medium,3800
5064,What is 9 + 91?,Easy,100
5065,What is 22 squared?,Easy,484
5066,What is 50 * 81?,Easy,4050
5067,What is 92 squared?,Easy,8464
5068,What is the square root of 77?,Hard,Not a perfect square
5069,What is the square root of 44?,Hard,Not a perfect square
5070,What is the square root of 12?,Medium,Not a perfect square
5071,What is 26 * 77?,Easy,2002
5072,What is 92 squared?,Hard,8464
5073,What is 6 squared?,Medium,36
5074,What is 66 + 38?,Hard,104
5075,What is the square root of 20?,Easy,Not a perfect square
5076,What is 55 * 90?,Hard,4950
5077,What is 95 - 11?,Hard,84
5078,What is 40 + 98?,Easy,138
5079,What is 52 + 25?,Hard,77
5080,What is 4 squared?,Medium,16
5081,What is 68 + 69?,Medium,137
5082,What is the square root of 16?,Medium,4
5083,What is 77 - 5?,Medium,72
5084,What is the square root of 25?,Easy,5
5085,What is 5 - 48?,Easy,-43
5086,What is 29 * 21?,Hard,609
5087,What is 8 * 54?,Medium,432
5088,What is 28 squared?,Medium,784
5089,What is the square root of 1?,Easy,1
5090,What is 65 + 71?,Easy,136
5091,What is the square root of 100?,Easy,10
5092,What is the square root of 43?,Medium,Not a perfect square
5093,What is 47 + 59?,Hard,106
5094,What is 74 - 58?,Hard,16
5095,What is the square root of 61?,Medium,Not a perfect square
5096,What is 96 - 83?,Medium,13
5097,What is 23 - 70?,Medium,-47
5098,What is 7 + 26?,Easy,33
5099,What is 27 * 35?,Easy,945
5100,What is 74 - 41?,Medium,33
5101,What is 49 - 48?,Hard,1
5102,What is the square root of 45?,Easy,Not a perfect square
5103,What is 30 - 23?,Hard,7
5104,What is the square root of 26?,Easy,Not a perfect square
5105,What is 66 + 34?,Hard,100
5106,What is 40 squared?,Easy,1600
5107,What is 24 squared?,Medium,576
5108,What is 84 squared?,Easy,7056
5109,What is 57 + 70?,Medium,127
5110,What is 54 squared?,Easy,2916
5111,What is 57 + 37?,Hard,94
5112,What is 46 + 99?,Easy,145
5113,What is 100 squared?,Hard,10000
5114,What is 49 squared?,Easy,2401
5115,What is 87 * 63?,Medium,5481
5116,What is the square root of 86?,Hard,Not a perfect square
5117,What is 91 squared?,Medium,8281
5118,What is 88 - 17?,Hard,71
5119,What is 35 * 90?,Medium,3150
5120,What is 58 * 60?,Medium,3480
5121,What is 18 - 22?,Hard,-4
5122,What is 10 squared?,Easy,100
5123,What is 75 + 52?,Hard,127
5124,What is 94 * 49?,Easy,4606
5125,What is 12 squared?,Hard,144
5126,What is 19 - 57?,Easy,-38
5127,What is 93 squared?,Medium,8649
5128,What is 81 - 59?,Medium,22
5129,What is 55 - 63?,Medium,-8
5130,What is 11 * 52?,Easy,572
5131,What is 48 squared?,Easy,2304
5132,What is 55 - 51?,Hard,4
5133,What is 21 * 98?,Hard,2058
5134,What is 94 squared?,Medium,8836
5135,What is 75 * 25?,Medium,1875
5136,What is 77 - 59?,Hard,18
5137,What is the square root of 48?,Easy,Not a perfect square
5138,What is 82 - 87?,Hard,-5
5139,What is 35 squared?,Hard,1225
5140,What is the square root of 73?,Medium,Not a perfect square
5141,What is 32 + 17?,Medium,49
5142,What is 53 * 13?,Hard,689
5143,What is 80 * 77?,Easy,6160
5144,What is 74 squared?,Easy,5476
5145,What is 68 - 16?,Hard,52
5146,What is 17 - 83?,Hard,-66
5147,What is 21 * 39?,Medium,819
5148,What is 1 - 76?,Medium,-75
5149,What is 25 + 25?,Hard,50
5150,What is 96 + 29?,Hard,125
5151,What is 61 + 98?,Medium,159
5152,What is 53 squared?,Medium,2809
5153,What is 4 - 82?,Hard,-78
5154,What is 35 + 17?,Medium,52
5155,What is 27 squared?,Hard,729
5156,What is 24 - 100?,Medium,-76
5157,What is 41 * 68?,Hard,2788
5158,What is the square root of 60?,Medium,Not a perfect square
5159,What is 98 squared?,Hard,9604
5160,What is 20 + 43?,Medium,63
5161,What is the square root of 76?,Easy,Not a perfect square
5162,What is the square root of 76?,Hard,Not a perfect square
5163,What is 65 * 8?,Hard,520
5164,What is 77 + 37?,Hard,114
5165,What is 54 + 34?,Hard,88
5166,What is 73 - 100?,Medium,-27
5167,What is the square root of 15?,Medium,Not a perfect square
5168,What is 45 - 52?,Hard,-7
5169,What is 29 + 41?,Medium,70
5170,What is 42 * 65?,Easy,2730
5171,What is 93 squared?,Hard,8649
5172,What is the square root of 20?,Medium,Not a perfect square
5173,What is 85 + 56?,Medium,141
5174,What is 60 + 64?,Medium,124
5175,What is 50 * 38?,Hard,1900
5176,What is 29 squared?,Easy,841
5177,What is 40 squared?,Easy,1600
5178,What is the square root of 57?,Easy,Not a perfect square
5179,What is 92 + 70?,Easy,162
5180,What is the square root of 67?,Easy,Not a perfect square
5181,What is 80 - 91?,Hard,-11
5182,What is 1 - 24?,Medium,-23
5183,What is 74 + 85?,Medium,159
5184,What is the square root of 37?,Easy,Not a perfect square
5185,What is the square root of 78?,Easy,Not a perfect square
5186,What is 85 + 84?,Hard,169
5187,What is 90 - 88?,Medium,2
5188,What is the square root of 39?,Hard,Not a perfect square
5189,What is 26 * 51?,Medium,1326
5190,What is the square root of 31?,Medium,Not a perfect square
5191,What is 58 - 46?,Hard,12
5192,What is 24 - 50?,Medium,-26
5193,What is 15 + 42?,Easy,57
5194,What is 46 * 55?,Medium,2530
